Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
V2,0,0.25821807718917,0,0,0,0,0,0,0,0,0.29601723996754,0.16389763908696,0,0,0,0,0,0.28176709323412,0,0,0,0,0,0.9999999961589381,0.3440588531892286
V3,0.2311041711863,0,0,0,0,0.17517042832983,0.20496098992481,0,0,0,0,0,0,0,0,0,0,0.087935627485998,0,0.30070672873866,0,0,0,0.999999997847167,0.4805751952373857
V4,0.11154201570683,0,0,0.13243137064181,0,0,0,0.11854912523415,0,0,0,0.075712094822909,0,0.12720396218322,0.13463422624103,0,0,0,0.17475346159561,0,0.12509312176497,0,0,0.9999999963859918,0.5598998172635611
V5,0,0,0,0,0.0001,0,0,0.27222307119389,0.33377943798934,0.39375716187181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999952047406,0.2856071756634477
V6,0.45090870807658,0,0,0,0,0.24478892472237,0,0,0,0,0,0,0,0,0,0,0,0,0.30417543979184,0,0,0,0,0.9999999959489876,0.402831450858619
V7,0,0.1231371817555,0,0,0,0,0,0.26448266516286,0,0,0,0,0.14890275547633,0,0,0,0.34210480966123,0,0.12127489497055,0,0,0,0,0.9999999940392632,0.5875766462428395
V8,0,0,0,0,0,0.0001,0,0,0.20863078628567,0,0,0,0,0,0.31663339510534,0,0.31800160768976,0.15662073052966,0,0,0,0,0,0.9999999961546904,0.3307054892111409
V9,0,0,0.064272472822353,0,0.18602508262266,0,0,0.24626544289212,0,0,0,0,0.12056497804195,0.22125099563186,0,0,0,0,0,0,0,0.16154688201605,0,0.9999999948978001,0.4982903056849896
V10,0,0,0,0.0001,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0.64306056546975,0.35667940005287,0,0,0,0.9999999865860321,0.05982699248989781
V11,0,0,0,0.3161270746098,0,0,0.48098806643872,0,0,0,0,0,0,0,0.20276088171051,0,0,0,0,0,0,0,0,0.9999999952787479,0.42952747382549944
V12,0,0,0.14207623487581,0,0,0,0,0.11210316356898,0,0,0.066133630496698,0.16350742590625,0,0,0.23171444830991,0,0,0,0.13786442494325,0,0.1464870918877,0,0,0.9999999947504061,0.43645913843069717
V13,0,0,0,0,0,0,0,0.13657444187768,0,0,0,0.33795270656068,0.10819148871479,0,0,0,0,0,0,0,0.41709157237727,0,0,0.9999999952494885,0.34897947062173773
V14,0,0,0.14778819255399,0,0,0,0,0,0,0,0,0.16064783839906,0,0.12184182520732,0,0,0.32011046733976,0,0.10482143454574,0,0,0.14464599494484,0,0.9999999946946647,0.5210701378402095
V15,0.14510766117378,0.08953117630115,0,0.17092871480324,0.19606975709971,0.0001,0,0,0,0.12296060696056,0,0,0,0,0,0,0.16525890362173,0.10995586189034,0,0,0,0,0,0.9999999906161126,0.5114084393078638
V16,0,0,0.26441470655877,0,0,0.38813556239968,0,0,0.34738642111729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999978495441,0.33951841214994705
V17,0,0,0,0,0,0,0,0.1904324877503,0,0,0,0.33520692152924,0.28337229774265,0,0,0,0,0,0,0,0.19088050617811,0,0,0.9999999965541875,0.39648587721151324
V18,0,0,0,0.16201712169782,0,0.26944930041036,0,0,0,0,0,0,0,0.34056602673668,0,0,0.22791264794022,0,0,0,0,0,0,0.9999999986092583,0.4940307781607531
V19,0,0,0,0,0.13339910756102,0.0998141190751,0.14727824258562,0,0.18037829433257,0.17478455662137,0,0.12508075509392,0,0,0.1392132415719,0,0,0,0,0,0,0,0,0.9999999977469867,0.39149764975900864
V20,0,0,0,0.07579891139773,0.17871434816695,0,0.094987159539456,0,0.10358284838874,0,0.17168475752637,0.082683378589094,0,0,0.16658671915022,0,0,0.12581529831813,0,0,0,0,0,0.9999999944099754,0.3982344776039246
V21,0,0.13288651368731,0,0,0.1008875405366,0,0,0.091023193528002,0,0,0,0,0,0,0.11648057379521,0.10884113778333,0,0.20003076017552,0,0.091357978176088,0.1584191104944,0,0,0.9999999978446757,0.5282683521000647
V22,0,0.13144315388978,0,0.2105706520861,0.14632784776015,0,0.17128217289671,0,0.05469209607497,0,0.11650806180404,0,0,0.16911024733542,0,0,0,0,0,0,0,0,0,0.9999999969801092,0.5066352517511178
V23,0,0,0,0.11163520437673,0.17547645914207,0,0,0,0.20933420530471,0,0,0,0,0.083783737216923,0,0.08005639299036,0,0,0.1813046152494,0.15831873955082,0,0,0,0.9999999964043601,0.4898868717606657
