Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
V2,0,0.0072784261643308,0,0,0.50245429343728,0.0068335303920013,0,0.0022503021114295,0.4357785262968,0,0.00936482405492,0,0,0.025909690113366,0,0,0,0.0049391091861435,0.0034386414796108,0,0,0.0017526567641148,0,0.5711043431880904,0.8350906626398421
V3,0.12385147907361,0.1928953332989,0,0,0.0006,0.0093456988501306,0,0,0.26251480699679,0.001719687536217,0,0.004382613329661,0.039285719267139,0.0057324854964407,0.10597875914812,0.0045296122902834,0,0,0.13110957653166,0,0.008563611901114,0.10951227583039,0,0.39740327859233926,0.9213841527880972
V4,0.014276857042595,0,0.0021524887605606,0,0.18345658029075,0,0.063189847819719,0.20508858589697,0.0030074927975756,0.0035487849888344,0.0067940684341586,0,0,0.22133181568369,0.15728644601913,0,0,0.012864008287487,0.11921463294894,0.0077883910295964,0,0,0,0.3514075111036774,0.9438511503416381
V5,0.0017254450442087,0,0.0003,0.0007,0.23240185223309,0,0,0,0.0018120186186854,0,0.0023427519937764,0,0.0014160975676287,0.0037319554239386,0,0.37155189200193,0,0,0,0.007554151301094,0.3764430665154,0,0,0.48431135570765455,0.8746923086702377
V6,0.0029202828662062,0,0.33561014606771,0,0.014173442557701,0,0.0015519927974095,0,0.0012415564555931,0.0046470722683159,0.0021679013206098,0.16063901175507,0,0.013040423422365,0,0.0082767045839368,0,0.0019809419762742,0.45161424178914,0,0.0017331381594263,0.0004,0,0.5729847357285498,0.8249808435855708
V7,0.12067998033576,0,0.0006,0.16932919337062,0.0012306214528622,0.13221457822409,0.12729088460502,0.173336864043,0,0.081661425094943,0.0036461532551068,0.15675845961009,0.0081297018336768,0.0012567861795198,0.0008,0,0.0032835961607893,0,0.019726358266137,0,0,0,0,0.4793081377452188,0.8857458160692451
V8,0.024769249248728,0,0.0044054427030225,0.0015759683150263,0.1496002552954,0.0096634305521563,0.0074433832284346,0.0045599330754625,0,0.11602370246565,0.19512077055433,0.2134786413007,0,0.0003,0,0,0,0.078178868353041,0.0049804757410698,0,0.18655088056929,0.0033891236486489,0,0.503994788016804,0.8776054114580034
V9,0.21907672743114,0.001452873359597,0.0014812769972525,0,0,0.22264795648318,0.0023827056836436,0.0028604393895119,0.0060575172399795,0.002747485544598,0,0.18491000451656,0.062799808852196,0,0.28926013118939,0,0,0.0034253466902678,0,0.0009,0,0,0,0.4345321202420089,0.922722084166003
V10,0.0002,0,0.32302479177788,0.0059321180540853,0.0058971190549683,0.010905183309137,0,0,0,0,0,0.0027796540064799,0,0,0.0009,0.30872304892366,0,0.003278217519556,0.0004,0.33524606162753,0,0.0027458302773831,0,0.5796399739600703,0.8174847583895838
V11,0.0002,0,0.0006,0.0009,0,0.050765332665497,0,0.14486250183296,0,0.10455752922632,0.0075952234356005,0.22693526901525,0.0032227195049813,0,0.0013824935255969,0.0068829584214589,0,0,0.20762683062158,0.24449831839997,0,0,0,0.5987987304266766,0.8044557615601055
