Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
X17.002,0.050073154413246,0.029785111549483,0,0.24755452797865,0,0,0.045749223905505,0,0.019345486678996,0,0.11301343312956,0.019961997246544,0.33456174370246,0,0,0.037100489970208,0,0.017277159766317,0.085577671659024,0,0,0,0,0.3322914210552751,0.9544343366151442
X17.006,0.062932496625866,0,0,0.36610035542381,0,0.10274732798336,0.02885067497603,0.024815136452323,0.12015583179128,0,0,0.045480452544979,0.16867233434645,0,0.0018794849325416,0.0097311166305888,0,0.013218535067527,0.052368523991318,0,0,0.0030477292339227,0,0.2927221806532265,0.9842491758468026
X17.019,0.1184747127586,0.021974937522228,0,0.22355347633726,0,0.096071268773807,0,0,0.0030615348931825,0.0062933824341834,0.26749238144707,0.023023203923072,0.23797961823558,0,0,0.0014846044945408,0,0.0004,0,0.0002,0,0,0,0.5091768683512944,0.8644648757942021
X17.023,0.070134220947448,0.035236232670197,0,0.058686761794725,0,0.29464713576981,0,0.0052907187596609,0.020900876345832,0,0.020138358180169,0.037829399050574,0.36026502882269,0,0,0.027408872606328,0,0.015465234430664,0.053997160621906,0,0,0,0,0.2910173081354108,0.9733632354041614
X17.026,0.033491076255494,0.045236776817864,0,0.26495136908203,0,0.055474391385923,0.017890227725851,0.014702458517822,0.030796517479748,0,0.026344878059354,0.01144151163552,0.39999696332899,0,0,0.03600319188598,0,0.02128709141895,0.042383546406472,0,0,0,0,0.26740378683008675,0.9885000855952348
X17.027,0.067778654742698,0.020044171473966,0,0.23609033259675,0.075893126677163,0,0.021202473722934,0,0.026881000103901,0.061661012458099,0.022408091444461,0.039651789038861,0.28850069413457,0.0009,0,0.03103392435038,0,0.014963132451014,0.093002227546289,0,0,0,0,0.332358029634664,0.95369937251389
X17.030,0.023808283675899,0.050577605403632,0,0.17709874178015,0,0.074379910366425,0.008953407115787,0.011820106996527,0.023318162079643,0.068286896571309,0.053164144391208,0.084719446398053,0.27065900996314,0.0062758430332333,0,0.03717573182255,0,0.010894606868624,0.098868103533816,0,0,0,0,0.44899450317735523,0.8941223288281642
X17.034,0.067864610600101,0,0,0.12516397549831,0.06609836411501,0.13586384400089,0.036315328362913,0,0,0,0.059603396262965,0.061901710246274,0.32774582940331,0,0,0.033986307985263,0,0.012951587853614,0.072505045671348,0,0,0,0,0.3540337663709179,0.9424766187666898
X17.040,0.14258366200253,0,0,0.12068339049426,0.0040843053607657,0,0.093999310276639,0.029499237904214,0.029295076963384,0.0099741316593152,0.032489661472264,0.068139977431403,0.28839910951931,0.0061156260364846,0,0.035755885925333,0,0.016544617812583,0.12243600714151,0,0,0,0,0.2969380094669402,0.9649482778886795
X17.041,0.045859800366767,0,0,0.14932328369189,0.19772163637812,0.050599735794575,0.084036596948874,0,0.018859679971051,0.0041641060148773,0.048419166687244,0.088059045557772,0.16771344478492,0.0054047854384674,0,0.039613384948866,0,0.010243308661812,0.089982024754756,0,0,0,0,0.3061696426012678,0.9682871479138568
