Input Sample,B.cells,Macrophages.M1,Macrophages.M2,Monocytes,Neutrophils,NK.cells,T.cells.CD4,T.cells.CD8,Tregs,Dendritic.cells,P-value,Pearson Correlation,RMSE
B.cells,0.99949451511681,0,0,0.0001,0,0,0.0001,0.0001,0,0,0,0.9999999905045976,0.3806345393897632
Macrophages.M1,0,0.99955730790812,0,0,0,0.0001,0,0,0.0001,0.0002,0,0.9999999907095085,0.29813643035075965
Macrophages.M2,0,0,0.99985703185513,0,0,0,0,0,0.0001,0,0,0.9999999968760566,0.08067890249581403
Monocytes,0,0,0,0.99985142622635,0,0,0,0,0.0001,0,0,0.9999999965960619,0.2345673602304183
Neutrophils,0,0,0,0.0002,0.99948749673656,0,0,0.0001,0.0002,0,0,0.9999999886879472,0.4590689045012969
NK.cells,0,0,0.0001,0,0.0001,0.99958197295842,0,0.0001,0.0001,0.0001,0,0.999999988822035,0.1680579522040559
T.cells.CD4,0,0,0,0,0,0,0.99995546593736,0,0,0,0,0.9999999924347585,0.6618142672273567
T.cells.CD8,0,0,0,0,0,0,0,0.99988823286556,0,0,0,0.9999999966379444,0.19128300236265666
Tregs,0,0,0,0,0,0,0.0001,0,0.99983120530453,0,0,0.9999999948018299,0.3623229047540044
Dendritic.cells,0,0,0,0,0,0,0,0,0,0.99985962978225,0,0.9999999928702914,0.38759126163004076
