"B cells"	"Interferon"	"Macrophages"	"Monocytes"	"Neutrophils"	"NK cells"	"Plasma cells"	"Proliferation"	"T cells"	"Translation"
"X910927"	2.97433307946192	4.19944686445856	3.27170001369113	4.31469330225847	3.747954041478	NA	2.90507143621546	7.1313945452074	3.00389482568605	9.850699769805
"X753575"	2.97240765680536	4.5765944260835	3.29929824862741	4.29619652912388	4.6705036350147	NA	2.89516039265954	8.11656372886402	3.0057460482428	9.77657832477548
"X1240174"	2.98981184884358	3.75225339478232	3.22932568205735	4.33990991186733	3.44114372821213	NA	2.93481158940876	6.86203770017963	3.01760623954475	9.66836927115286
"X1298134"	3.16562942494268	4.63513562554655	3.32007444267017	4.23418677655159	3.36004740387704	NA	3.00199164304694	7.68582545410572	3.02708698665825	9.96898863299603
"X906852"	2.97313485595714	5.00839383757057	3.40661295495673	4.27934966423909	3.54078151629707	NA	2.97257126034162	7.8694848832023	3.03581115305287	9.83895301993434
"X753576"	3.07421692360264	3.92126911931645	3.33715123809219	4.5344373790904	3.40377812746773	NA	2.88456034206595	6.91108135163589	3.03826876273704	9.79423840326988
"X1299064"	3.03697003603886	4.49101924090049	3.41285986267279	4.33636479203354	5.300281410872	NA	2.98382459851996	7.65060249898209	3.0422116551952	9.60312670529118
"X753588"	3.06552833944371	3.88002828918003	3.10852082760537	3.90955496026825	3.17068804016542	NA	2.94765561382163	8.40105555967628	3.04369784016383	9.2074676494708
"X1298219"	3.02979040775815	5.49698592067134	3.47585910033115	4.28583787831559	3.68761640957974	NA	3.05645824136128	7.74016461314859	3.04497650764486	9.74198729155131
"X910852"	2.99442096553921	7.7368371378672	3.52721695621127	4.44228422731531	4.39265059849774	NA	3.05137817339266	6.8809822936834	3.04663626611743	9.6107017824675
"X909975"	3.15296524416413	5.05702424664226	3.21824239215296	4.31868836237963	3.40792863263805	NA	3.11721745471786	7.34498274882007	3.04791952191865	9.90960997857607
"X1240209"	2.98587116326809	4.0983789619195	3.15308147785197	4.20979077341767	5.15126885476561	NA	3.05466943028685	7.6882725982154	3.04796313741728	9.95886664977058
"X753573"	3.07039028443676	4.24034882018134	3.23111243035715	4.3705486000521	3.50471221512508	NA	2.92759319133665	7.4413026811046	3.05375478549783	9.91754400080355
